gid,no_cidade,nome_da_nidade,valor,taxa
9537,Muitos Capões,<i>Muitos Capões</i>,<b>0</b>,0
8910,Vitória Brasil,<i>Vitória Brasil</i>,<b>1</b>,1
9881,Caetés,<i>Caetés</i>,<b>3</b>,3
10833,Presidente Kubitschek,<i>Presidente Kubitschek</i>,<b>0</b>,0
9005,Palmeirópolis,<i>Palmeirópolis</i>,<b>2</b>,2
8474,Guaraci,<i>Guaraci</i>,<b>1</b>,1
6868,Vale do Anari,<i>Vale do Anari</i>,<b>1</b>,1
8210,Itaocara,<i>Itaocara</i>,<b>3</b>,3
9112,Cidelândia,<i>Cidelândia</i>,<b>4</b>,4
8835,São Pedro do Turvo,<i>São Pedro do Turvo</i>,<b>0</b>,0
6810,Teixeira,<i>Teixeira</i>,<b>2</b>,2
7689,Aracaju,<i>Aracaju</i>,<b>14</b>,14
8653,Olímpia,<i>Olímpia</i>,<b>1</b>,1
7097,São Raimundo Nonato,<i>São Raimundo Nonato</i>,<b>7</b>,7
6507,Major Sales,<i>Major Sales</i>,<b>3</b>,3
7988,Lajedinho,<i>Lajedinho</i>,<b>0</b>,0
8357,Bragança Paulista,<i>Bragança Paulista</i>,<b>3</b>,3
7252,Pedra Branca,<i>Pedra Branca</i>,<b>4</b>,4
6635,Cabaceiras,<i>Cabaceiras</i>,<b>2</b>,2
8182,Areal,<i>Areal</i>,<b>1</b>,1
9495,Jaquirana,<i>Jaquirana</i>,<b>1</b>,1
8104,Santa Luzia,<i>Santa Luzia</i>,<b>2</b>,2
5679,Salvaterra,<i>Salvaterra</i>,<b>2</b>,2
6459,Coronel João Pessoa,<i>Coronel João Pessoa</i>,<b>0</b>,0
9874,Brejinho,<i>Brejinho</i>,<b>2</b>,2
9195,Peri Mirim,<i>Peri Mirim</i>,<b>5</b>,5
7087,São José do Divino,<i>São José do Divino</i>,<b>1</b>,1
5708,Tracuateua,<i>Tracuateua</i>,<b>9</b>,9
7282,Sobral,<i>Sobral</i>,<b>15</b>,15
6717,Monte Horebe,<i>Monte Horebe</i>,<b>0</b>,0
9034,Santa Tereza do Tocantins,<i>Santa Tereza do Tocantins</i>,<b>1</b>,1
9961,Ouricuri,<i>Ouricuri</i>,<b>3</b>,3
9318,Boa Vista do Incra,<i>Boa Vista do Incra</i>,<b>0</b>,0
8973,Gurupi,<i>Gurupi</i>,<b>7</b>,7
5911,Joaquim Távora,<i>Joaquim Távora</i>,<b>0</b>,0
10357,Caratinga,<i>Caratinga</i>,<b>1</b>,1
8847,Sertãozinho,<i>Sertãozinho</i>,<b>5</b>,5
7503,Cezarina,<i>Cezarina</i>,<b>1</b>,1
8557,Jaú,<i>Jaú</i>,<b>7</b>,7
6428,Acari,<i>Acari</i>,<b>1</b>,1
7881,Dias d'Ávila,<i>Dias d'Ávila</i>,<b>7</b>,7
8871,Taquarivaí,<i>Taquarivaí</i>,<b>0</b>,0
7839,Candeal,<i>Candeal</i>,<b>1</b>,1
5890,Itambaracá,<i>Itambaracá</i>,<b>0</b>,0
11088,Dores do Rio Preto,<i>Dores do Rio Preto</i>,<b>0</b>,0
8713,Planalto,<i>Planalto</i>,<b>2</b>,2
7149,Canindé,<i>Canindé</i>,<b>11</b>,11
9853,Águas Belas,<i>Águas Belas</i>,<b>2</b>,2
10841,Recreio,<i>Recreio</i>,<b>1</b>,1
