gid,no_cidade,nome_da_nidade,valor,taxa
7616,Palminópolis,<i>Palminópolis</i>,<b>0</b>,0
7965,Ituberá,<i>Ituberá</i>,<b>2</b>,2
5990,Pato Branco,<i>Pato Branco</i>,<b>6</b>,6
10796,Piau,<i>Piau</i>,<b>0</b>,0
11105,João Neiva,<i>João Neiva</i>,<b>1</b>,1
8604,Mesópolis,<i>Mesópolis</i>,<b>0</b>,0
6421,Vitor Meireles,<i>Vitor Meireles</i>,<b>1</b>,1
9488,Ivorá,<i>Ivorá</i>,<b>0</b>,0
6462,Doutor Severiano,<i>Doutor Severiano</i>,<b>0</b>,0
10177,Nova Olinda do Norte,<i>Nova Olinda do Norte</i>,<b>3</b>,3
8291,Américo de Campos,<i>Américo de Campos</i>,<b>1</b>,1
10702,Monjolos,<i>Monjolos</i>,<b>0</b>,0
9845,Terenos,<i>Terenos</i>,<b>1</b>,1
5616,Curralinho,<i>Curralinho</i>,<b>11</b>,11
9305,Barão do Triunfo,<i>Barão do Triunfo</i>,<b>0</b>,0
7046,Paulistana,<i>Paulistana</i>,<b>1</b>,1
8360,Brodowski,<i>Brodowski</i>,<b>3</b>,3
5743,Amaporã,<i>Amaporã</i>,<b>0</b>,0
6152,Armazém,<i>Armazém</i>,<b>0</b>,0
6001,Pinhão,<i>Pinhão</i>,<b>0</b>,0
7902,Governador Mangabeira,<i>Governador Mangabeira</i>,<b>2</b>,2
6623,Bernardino Batista,<i>Bernardino Batista</i>,<b>1</b>,1
6651,Catingueira,<i>Catingueira</i>,<b>0</b>,0
6876,Epitaciolândia,<i>Epitaciolândia</i>,<b>2</b>,2
8138,Simões Filho,<i>Simões Filho</i>,<b>5</b>,5
9421,Herval,<i>Herval</i>,<b>1</b>,1
10627,José Raydan,<i>José Raydan</i>,<b>1</b>,1
10502,Formiga,<i>Formiga</i>,<b>1</b>,1
9643,Santa Vitória do Palmar,<i>Santa Vitória do Palmar</i>,<b>4</b>,4
7856,Central,<i>Central</i>,<b>1</b>,1
9912,Frei Miguelinho,<i>Frei Miguelinho</i>,<b>3</b>,3
6484,Jandaíra,<i>Jandaíra</i>,<b>1</b>,1
9628,Salto do Jacuí,<i>Salto do Jacuí</i>,<b>3</b>,3
8768,Roseira,<i>Roseira</i>,<b>0</b>,0
6110,Tibagi,<i>Tibagi</i>,<b>1</b>,1
7184,Guaramiranga,<i>Guaramiranga</i>,<b>1</b>,1
7777,Andorinha,<i>Andorinha</i>,<b>1</b>,1
5711,Tucuruí,<i>Tucuruí</i>,<b>8</b>,8
10036,Atalaia,<i>Atalaia</i>,<b>5</b>,5
9651,Santo Cristo,<i>Santo Cristo</i>,<b>0</b>,0
7211,Jardim,<i>Jardim</i>,<b>3</b>,3
8674,Paranapuã,<i>Paranapuã</i>,<b>1</b>,1
9204,Presidente Dutra,<i>Presidente Dutra</i>,<b>0</b>,0
5898,Ivatuba,<i>Ivatuba</i>,<b>0</b>,0
7425,Sorriso,<i>Sorriso</i>,<b>3</b>,3
6250,Ipuaçu,<i>Ipuaçu</i>,<b>1</b>,1
6337,Porto União,<i>Porto União</i>,<b>2</b>,2
9714,Taquari,<i>Taquari</i>,<b>3</b>,3
9316,Boa Vista do Buricá,<i>Boa Vista do Buricá</i>,<b>2</b>,2
9175,Monção,<i>Monção</i>,<b>5</b>,5
6017,Presidente Castelo Branco,<i>Presidente Castelo Branco</i>,<b>0</b>,0
8887,Tupã,<i>Tupã</i>,<b>2</b>,2
7727,Muribeca,<i>Muribeca</i>,<b>0</b>,0
5635,Juruti,<i>Juruti</i>,<b>1</b>,1
7666,Silvânia,<i>Silvânia</i>,<b>2</b>,2
8420,Cubatão,<i>Cubatão</i>,<b>5</b>,5
10039,Batalha,<i>Batalha</i>,<b>2</b>,2
6352,Rio Negrinho,<i>Rio Negrinho</i>,<b>1</b>,1
6472,Frutuoso Gomes,<i>Frutuoso Gomes</i>,<b>1</b>,1
6653,Caturité,<i>Caturité</i>,<b>1</b>,1
7229,Missão Velha,<i>Missão Velha</i>,<b>9</b>,9
6304,Nova Trento,<i>Nova Trento</i>,<b>1</b>,1
8631,Nantes,<i>Nantes</i>,<b>2</b>,2
10003,São Lourenço da Mata,<i>São Lourenço da Mata</i>,<b>2</b>,2
6006,Planaltina do Paraná,<i>Planaltina do Paraná</i>,<b>0</b>,0
9327,Braga,<i>Braga</i>,<b>1</b>,1
9163,Magalhães de Almeida,<i>Magalhães de Almeida</i>,<b>2</b>,2
8353,Boracéia,<i>Boracéia</i>,<b>1</b>,1
6953,Colônia do Piauí,<i>Colônia do Piauí</i>,<b>2</b>,2
8595,Marapoama,<i>Marapoama</i>,<b>1</b>,1
9698,Sentinela do Sul,<i>Sentinela do Sul</i>,<b>0</b>,0
11113,Montanha,<i>Montanha</i>,<b>1</b>,1
7769,Alagoinhas,<i>Alagoinhas</i>,<b>8</b>,8
8853,Sud Mennucci,<i>Sud Mennucci</i>,<b>1</b>,1
9770,Alcinópolis,<i>Alcinópolis</i>,<b>0</b>,0
6092,Sapopema,<i>Sapopema</i>,<b>1</b>,1
10783,Pedra Dourada,<i>Pedra Dourada</i>,<b>0</b>,0
6959,Curimatá,<i>Curimatá</i>,<b>4</b>,4
9626,Sagrada Família,<i>Sagrada Família</i>,<b>1</b>,1
7522,Edéia,<i>Edéia</i>,<b>1</b>,1
7262,Potiretama,<i>Potiretama</i>,<b>3</b>,3
7958,Itaquara,<i>Itaquara</i>,<b>3</b>,3
10669,Maravilhas,<i>Maravilhas</i>,<b>1</b>,1
9411,Doutor Ricardo,<i>Doutor Ricardo</i>,<b>0</b>,0
8561,José Bonifácio,<i>José Bonifácio</i>,<b>0</b>,0
7011,Luzilândia,<i>Luzilândia</i>,<b>5</b>,5
9811,Japorã,<i>Japorã</i>,<b>2</b>,2
7326,Carlinda,<i>Carlinda</i>,<b>3</b>,3
9251,Senador La Rocque,<i>Senador La Rocque</i>,<b>3</b>,3
9341,Campina das Missões,<i>Campina das Missões</i>,<b>1</b>,1
9877,Buíque,<i>Buíque</i>,<b>4</b>,4
9461,Guarani das Missões,<i>Guarani das Missões</i>,<b>1</b>,1
8478,Guararema,<i>Guararema</i>,<b>0</b>,0
8183,Armação dos Búzios,<i>Armação dos Búzios</i>,<b>7</b>,7
8449,Fernando Prestes,<i>Fernando Prestes</i>,<b>0</b>,0
5701,Sapucaia,<i>Sapucaia</i>,<b>0</b>,0
7042,Parnaíba,<i>Parnaíba</i>,<b>16</b>,16
10980,Sarzedo,<i>Sarzedo</i>,<b>3</b>,3
6855,Ministro Andreazza,<i>Ministro Andreazza</i>,<b>1</b>,1
10344,Capela Nova,<i>Capela Nova</i>,<b>0</b>,0
6135,Agrolândia,<i>Agrolândia</i>,<b>1</b>,1
5680,Santa Bárbara do Pará,<i>Santa Bárbara do Pará</i>,<b>2</b>,2
7574,Leopoldo de Bulhões,<i>Leopoldo de Bulhões</i>,<b>1</b>,1
8982,Lagoa do Tocantins,<i>Lagoa do Tocantins</i>,<b>1</b>,1
7993,Lençóis,<i>Lençóis</i>,<b>3</b>,3
8085,Riachão do Jacuípe,<i>Riachão do Jacuípe</i>,<b>2</b>,2
8639,Nova Campina,<i>Nova Campina</i>,<b>0</b>,0
10068,Inhapi,<i>Inhapi</i>,<b>2</b>,2
8050,Palmeiras,<i>Palmeiras</i>,<b>1</b>,1
10752,Padre Carvalho,<i>Padre Carvalho</i>,<b>0</b>,0
10780,Pedra Bonita,<i>Pedra Bonita</i>,<b>0</b>,0
5699,São Miguel do Guamá,<i>São Miguel do Guamá</i>,<b>2</b>,2
7010,Luís Correia,<i>Luís Correia</i>,<b>9</b>,9
10689,Medeiros,<i>Medeiros</i>,<b>0</b>,0
9332,Cachoeira do Sul,<i>Cachoeira do Sul</i>,<b>3</b>,3
7218,Madalena,<i>Madalena</i>,<b>2</b>,2
8377,Cajuru,<i>Cajuru</i>,<b>2</b>,2
7608,Novo Planalto,<i>Novo Planalto</i>,<b>0</b>,0
7966,Iuiú,<i>Iuiú</i>,<b>2</b>,2
8311,Areias,<i>Areias</i>,<b>0</b>,0
6892,Acauã,<i>Acauã</i>,<b>1</b>,1
8090,Rio de Contas,<i>Rio de Contas</i>,<b>1</b>,1
7508,Córrego do Ouro,<i>Córrego do Ouro</i>,<b>0</b>,0
9291,Aratiba,<i>Aratiba</i>,<b>0</b>,0
7680,Urutaí,<i>Urutaí</i>,<b>0</b>,0
5838,Entre Rios do Oeste,<i>Entre Rios do Oeste</i>,<b>0</b>,0
8220,Mendes,<i>Mendes</i>,<b>2</b>,2
8905,Várzea Paulista,<i>Várzea Paulista</i>,<b>4</b>,4
6415,Urussanga,<i>Urussanga</i>,<b>6</b>,6
10341,Candeias,<i>Candeias</i>,<b>1</b>,1
8693,Pereiras,<i>Pereiras</i>,<b>2</b>,2
10557,Ilicínea,<i>Ilicínea</i>,<b>2</b>,2
8850,Silveiras,<i>Silveiras</i>,<b>0</b>,0
6228,Gaspar,<i>Gaspar</i>,<b>4</b>,4
9552,Nova Petrópolis,<i>Nova Petrópolis</i>,<b>0</b>,0
6962,Curral Novo do Piauí,<i>Curral Novo do Piauí</i>,<b>3</b>,3
8721,Pontes Gestal,<i>Pontes Gestal</i>,<b>1</b>,1
9622,Ronda Alta,<i>Ronda Alta</i>,<b>1</b>,1
5722,Cutias,<i>Cutias</i>,<b>3</b>,3
8918,Aliança do Tocantins,<i>Aliança do Tocantins</i>,<b>1</b>,1
6969,Eliseu Martins,<i>Eliseu Martins</i>,<b>2</b>,2
7886,Entre Rios,<i>Entre Rios</i>,<b>4</b>,4
5696,São João da Ponta,<i>São João da Ponta</i>,<b>2</b>,2
7060,Redenção do Gurguéia,<i>Redenção do Gurguéia</i>,<b>4</b>,4
11033,Ubaporanga,<i>Ubaporanga</i>,<b>0</b>,0
8109,Santa Teresinha,<i>Santa Teresinha</i>,<b>3</b>,3
8373,Caiuá,<i>Caiuá</i>,<b>0</b>,0
5981,Palmeira,<i>Palmeira</i>,<b>7</b>,7
8801,Santa Rita do Passa Quatro,<i>Santa Rita do Passa Quatro</i>,<b>3</b>,3
7337,Cuiabá,<i>Cuiabá</i>,<b>15</b>,15
10601,Itutinga,<i>Itutinga</i>,<b>0</b>,0
8391,Caraguatatuba,<i>Caraguatatuba</i>,<b>4</b>,4
7220,Maranguape,<i>Maranguape</i>,<b>13</b>,13
10719,Mutum,<i>Mutum</i>,<b>5</b>,5
5716,Vitória do Xingu,<i>Vitória do Xingu</i>,<b>1</b>,1
8074,Prado,<i>Prado</i>,<b>0</b>,0
11049,Vazante,<i>Vazante</i>,<b>1</b>,1
6948,Cocal,<i>Cocal</i>,<b>5</b>,5
8896,Urânia,<i>Urânia</i>,<b>1</b>,1
9314,Bento Gonçalves,<i>Bento Gonçalves</i>,<b>5</b>,5
10714,Morada Nova de Minas,<i>Morada Nova de Minas</i>,<b>0</b>,0
7118,Acaraú,<i>Acaraú</i>,<b>6</b>,6
8976,Itaguatins,<i>Itaguatins</i>,<b>1</b>,1
7739,Poço Redondo,<i>Poço Redondo</i>,<b>5</b>,5
10992,Seritinga,<i>Seritinga</i>,<b>0</b>,0
8834,São Pedro,<i>São Pedro</i>,<b>2</b>,2
8497,Icém,<i>Icém</i>,<b>1</b>,1
10605,Jacutinga,<i>Jacutinga</i>,<b>3</b>,3
10138,Anori,<i>Anori</i>,<b>0</b>,0
8752,Ribeirão Branco,<i>Ribeirão Branco</i>,<b>1</b>,1
9541,Nonoai,<i>Nonoai</i>,<b>2</b>,2
6465,Equador,<i>Equador</i>,<b>1</b>,1
9834,Rio Negro,<i>Rio Negro</i>,<b>1</b>,1
8645,Nova Independência,<i>Nova Independência</i>,<b>0</b>,0
11131,São José do Calçado,<i>São José do Calçado</i>,<b>0</b>,0
10744,Oliveira Fortes,<i>Oliveira Fortes</i>,<b>0</b>,0
9365,Caseiros,<i>Caseiros</i>,<b>0</b>,0
8173,Vereda,<i>Vereda</i>,<b>1</b>,1
9483,Itacurubi,<i>Itacurubi</i>,<b>0</b>,0
8143,Tabocas do Brejo Velho,<i>Tabocas do Brejo Velho</i>,<b>1</b>,1
9398,Cruzeiro do Sul,<i>Cruzeiro do Sul</i>,<b>1</b>,1
11135,Sooretama,<i>Sooretama</i>,<b>2</b>,2
7755,São Miguel do Aleixo,<i>São Miguel do Aleixo</i>,<b>1</b>,1
8433,Echaporã,<i>Echaporã</i>,<b>0</b>,0
10397,Comendador Gomes,<i>Comendador Gomes</i>,<b>0</b>,0
7627,Planaltina,<i>Planaltina</i>,<b>8</b>,8
7697,Canindé de São Francisco,<i>Canindé de São Francisco</i>,<b>3</b>,3
10285,Bicas,<i>Bicas</i>,<b>0</b>,0
10317,Cachoeira de Minas,<i>Cachoeira de Minas</i>,<b>0</b>,0
8328,Barbosa,<i>Barbosa</i>,<b>0</b>,0
8800,Santa Rita d'Oeste,<i>Santa Rita d'Oeste</i>,<b>0</b>,0
8908,Viradouro,<i>Viradouro</i>,<b>1</b>,1
8439,Embu-Guaçu,<i>Embu-Guaçu</i>,<b>5</b>,5
8206,Iguaba Grande,<i>Iguaba Grande</i>,<b>6</b>,6
10537,Guaxupé,<i>Guaxupé</i>,<b>1</b>,1
5968,Nova Laranjeiras,<i>Nova Laranjeiras</i>,<b>0</b>,0
8299,Aparecida d'Oeste,<i>Aparecida d'Oeste</i>,<b>1</b>,1
10419,Cordisburgo,<i>Cordisburgo</i>,<b>1</b>,1
8901,Valparaíso,<i>Valparaíso</i>,<b>0</b>,0
7311,Araputanga,<i>Araputanga</i>,<b>2</b>,2
9038,São Miguel do Tocantins,<i>São Miguel do Tocantins</i>,<b>0</b>,0
7702,Cristinápolis,<i>Cristinápolis</i>,<b>7</b>,7
9276,Alecrim,<i>Alecrim</i>,<b>0</b>,0
6077,São João do Triunfo,<i>São João do Triunfo</i>,<b>2</b>,2
9532,Morrinhos do Sul,<i>Morrinhos do Sul</i>,<b>1</b>,1
7402,Reserva do Cabaçal,<i>Reserva do Cabaçal</i>,<b>0</b>,0
8176,Wanderley,<i>Wanderley</i>,<b>1</b>,1
7672,Três Ranchos,<i>Três Ranchos</i>,<b>0</b>,0
7599,Nova América,<i>Nova América</i>,<b>1</b>,1
9513,Maquiné,<i>Maquiné</i>,<b>1</b>,1
9631,Sananduva,<i>Sananduva</i>,<b>1</b>,1
6246,Indaial,<i>Indaial</i>,<b>2</b>,2
5839,Espigão Alto do Iguaçu,<i>Espigão Alto do Iguaçu</i>,<b>2</b>,2
9126,Formosa da Serra Negra,<i>Formosa da Serra Negra</i>,<b>6</b>,6
6656,Conde,<i>Conde</i>,<b>1</b>,1
8781,Sandovalina,<i>Sandovalina</i>,<b>0</b>,0
10930,São Geraldo do Baixio,<i>São Geraldo do Baixio</i>,<b>1</b>,1
7038,Palmeira do Piauí,<i>Palmeira do Piauí</i>,<b>2</b>,2
10830,Pratinha,<i>Pratinha</i>,<b>1</b>,1
10019,Timbaúba,<i>Timbaúba</i>,<b>9</b>,9
5904,Janiópolis,<i>Janiópolis</i>,<b>1</b>,1
10675,Maripá de Minas,<i>Maripá de Minas</i>,<b>1</b>,1
9149,Jenipapo dos Vieiras,<i>Jenipapo dos Vieiras</i>,<b>5</b>,5
7523,Estrela do Norte,<i>Estrela do Norte</i>,<b>0</b>,0
5611,Colares,<i>Colares</i>,<b>1</b>,1
9011,Pequizeiro,<i>Pequizeiro</i>,<b>1</b>,1
6711,Mataraca,<i>Mataraca</i>,<b>2</b>,2
8666,Palmares Paulista,<i>Palmares Paulista</i>,<b>1</b>,1
6951,Coivaras,<i>Coivaras</i>,<b>0</b>,0
9268,Vila Nova dos Martírios,<i>Vila Nova dos Martírios</i>,<b>2</b>,2
6247,Iomerê,<i>Iomerê</i>,<b>1</b>,1
9140,Humberto de Campos,<i>Humberto de Campos</i>,<b>0</b>,0
10506,Francisco Badaró,<i>Francisco Badaró</i>,<b>2</b>,2
10814,Planura,<i>Planura</i>,<b>2</b>,2
8406,Colômbia,<i>Colômbia</i>,<b>1</b>,1
5605,Cametá,<i>Cametá</i>,<b>16</b>,16
9785,Brasilândia,<i>Brasilândia</i>,<b>1</b>,1
8508,Indiaporã,<i>Indiaporã</i>,<b>0</b>,0
10071,Japaratinga,<i>Japaratinga</i>,<b>1</b>,1
10276,Belmiro Braga,<i>Belmiro Braga</i>,<b>0</b>,0
9948,Lagoa Grande,<i>Lagoa Grande</i>,<b>2</b>,2
6325,Pescaria Brava,<i>Pescaria Brava</i>,<b>0</b>,0
7645,Santa Isabel,<i>Santa Isabel</i>,<b>0</b>,0
8350,Bom Jesus dos Perdões,<i>Bom Jesus dos Perdões</i>,<b>1</b>,1
10242,Angelândia,<i>Angelândia</i>,<b>1</b>,1
6622,Belém do Brejo do Cruz,<i>Belém do Brejo do Cruz</i>,<b>3</b>,3
10141,Autazes,<i>Autazes</i>,<b>7</b>,7
7828,Cafarnaum,<i>Cafarnaum</i>,<b>2</b>,2
9755,Viadutos,<i>Viadutos</i>,<b>0</b>,0
8175,Wagner,<i>Wagner</i>,<b>1</b>,1
10185,Santo Antônio do Içá,<i>Santo Antônio do Içá</i>,<b>4</b>,4
5718,Serra do Navio,<i>Serra do Navio</i>,<b>2</b>,2
8348,Bofete,<i>Bofete</i>,<b>1</b>,1
10165,Itapiranga,<i>Itapiranga</i>,<b>4</b>,4
5582,Anajás,<i>Anajás</i>,<b>2</b>,2
7557,Itaguaru,<i>Itaguaru</i>,<b>1</b>,1
9445,Frederico Westphalen,<i>Frederico Westphalen</i>,<b>2</b>,2
9540,Nicolau Vergueiro,<i>Nicolau Vergueiro</i>,<b>0</b>,0
10063,Flexeiras,<i>Flexeiras</i>,<b>4</b>,4
7430,Tesouro,<i>Tesouro</i>,<b>0</b>,0
8514,Iporanga,<i>Iporanga</i>,<b>1</b>,1
7539,Gouvelândia,<i>Gouvelândia</i>,<b>1</b>,1
10277,Belo Horizonte,<i>Belo Horizonte</i>,<b>30</b>,30
7500,Caturaí,<i>Caturaí</i>,<b>1</b>,1
9494,Jaguari,<i>Jaguari</i>,<b>1</b>,1
9493,Jaguarão,<i>Jaguarão</i>,<b>2</b>,2
10463,Dom Cavati,<i>Dom Cavati</i>,<b>0</b>,0
11127,Santa Maria de Jetibá,<i>Santa Maria de Jetibá</i>,<b>5</b>,5
6292,Matos Costa,<i>Matos Costa</i>,<b>1</b>,1
8172,Vera Cruz,<i>Vera Cruz</i>,<b>2</b>,2
6238,Ibiam,<i>Ibiam</i>,<b>1</b>,1
7556,Itaguari,<i>Itaguari</i>,<b>0</b>,0
10021,Tracunhaém,<i>Tracunhaém</i>,<b>3</b>,3
8035,Nordestina,<i>Nordestina</i>,<b>1</b>,1
9150,João Lisboa,<i>João Lisboa</i>,<b>4</b>,4
10909,Santo Antônio do Amparo,<i>Santo Antônio do Amparo</i>,<b>1</b>,1
9383,Colorado,<i>Colorado</i>,<b>1</b>,1
10824,Poté,<i>Poté</i>,<b>2</b>,2
10315,Cabo Verde,<i>Cabo Verde</i>,<b>1</b>,1
8417,Cristais Paulista,<i>Cristais Paulista</i>,<b>0</b>,0
6279,Leoberto Leal,<i>Leoberto Leal</i>,<b>0</b>,0
7344,Gaúcha do Norte,<i>Gaúcha do Norte</i>,<b>0</b>,0
8278,Agudos,<i>Agudos</i>,<b>0</b>,0
9486,Itati,<i>Itati</i>,<b>0</b>,0
6084,São Manoel do Paraná,<i>São Manoel do Paraná</i>,<b>0</b>,0
9284,Amaral Ferrador,<i>Amaral Ferrador</i>,<b>0</b>,0
10916,Santo Antônio do Rio Abaixo,<i>Santo Antônio do Rio Abaixo</i>,<b>0</b>,0
8303,Araçoiaba da Serra,<i>Araçoiaba da Serra</i>,<b>2</b>,2
10290,Bom Despacho,<i>Bom Despacho</i>,<b>5</b>,5
8675,Parapuã,<i>Parapuã</i>,<b>1</b>,1
6795,Serra Branca,<i>Serra Branca</i>,<b>1</b>,1
8243,Rio Claro,<i>Rio Claro</i>,<b>1</b>,1
9571,Paraíso do Sul,<i>Paraíso do Sul</i>,<b>0</b>,0
7590,Morrinhos,<i>Morrinhos</i>,<b>4</b>,4
10031,Vitória de Santo Antão,<i>Vitória de Santo Antão</i>,<b>11</b>,11
11054,Vespasiano,<i>Vespasiano</i>,<b>4</b>,4
8418,Cruzália,<i>Cruzália</i>,<b>0</b>,0
7800,Barreiras,<i>Barreiras</i>,<b>12</b>,12
5888,Itaguajé,<i>Itaguajé</i>,<b>0</b>,0
8140,Sítio do Quinto,<i>Sítio do Quinto</i>,<b>1</b>,1
5728,Oiapoque,<i>Oiapoque</i>,<b>0</b>,0
9471,Ibirubá,<i>Ibirubá</i>,<b>1</b>,1
9496,Jari,<i>Jari</i>,<b>0</b>,0
8110,Santo Amaro,<i>Santo Amaro</i>,<b>7</b>,7
9759,Vila Flores,<i>Vila Flores</i>,<b>1</b>,1
7226,Milagres,<i>Milagres</i>,<b>6</b>,6
8400,Cerqueira César,<i>Cerqueira César</i>,<b>1</b>,1
5797,Cantagalo,<i>Cantagalo</i>,<b>0</b>,0
7943,Itagimirim,<i>Itagimirim</i>,<b>0</b>,0
9063,Alto Parnaíba,<i>Alto Parnaíba</i>,<b>0</b>,0
10066,Igaci,<i>Igaci</i>,<b>3</b>,3
11047,Várzea da Palma,<i>Várzea da Palma</i>,<b>0</b>,0
9194,Penalva,<i>Penalva</i>,<b>3</b>,3
7884,Elísio Medrado,<i>Elísio Medrado</i>,<b>1</b>,1
8343,Bilac,<i>Bilac</i>,<b>1</b>,1
8915,Estiva Gerbi,<i>Estiva Gerbi</i>,<b>1</b>,1
6240,Ibirama,<i>Ibirama</i>,<b>2</b>,2
10274,Barroso,<i>Barroso</i>,<b>0</b>,0
6384,São Lourenço do Oeste,<i>São Lourenço do Oeste</i>,<b>0</b>,0
10170,Manacapuru,<i>Manacapuru</i>,<b>10</b>,10
9263,Turilândia,<i>Turilândia</i>,<b>0</b>,0
6342,Presidente Nereu,<i>Presidente Nereu</i>,<b>1</b>,1
7341,Dom Aquino,<i>Dom Aquino</i>,<b>1</b>,1
11065,Afonso Cláudio,<i>Afonso Cláudio</i>,<b>5</b>,5
8271,Adamantina,<i>Adamantina</i>,<b>1</b>,1
9330,Caçapava do Sul,<i>Caçapava do Sul</i>,<b>0</b>,0
7770,Alcobaça,<i>Alcobaça</i>,<b>1</b>,1
5931,Mandaguari,<i>Mandaguari</i>,<b>3</b>,3
9765,Vista Gaúcha,<i>Vista Gaúcha</i>,<b>0</b>,0
6269,Joinville,<i>Joinville</i>,<b>8</b>,8
7389,Planalto da Serra,<i>Planalto da Serra</i>,<b>1</b>,1
8680,Paulicéia,<i>Paulicéia</i>,<b>0</b>,0
9376,Charrua,<i>Charrua</i>,<b>0</b>,0
7838,Canavieiras,<i>Canavieiras</i>,<b>0</b>,0
8010,Maragogipe,<i>Maragogipe</i>,<b>1</b>,1
7723,Malhador,<i>Malhador</i>,<b>2</b>,2
9022,Pugmil,<i>Pugmil</i>,<b>1</b>,1
7621,Petrolina de Goiás,<i>Petrolina de Goiás</i>,<b>1</b>,1
10608,Jampruca,<i>Jampruca</i>,<b>0</b>,0
7299,Viçosa do Ceará,<i>Viçosa do Ceará</i>,<b>3</b>,3
7651,Santo Antônio da Barra,<i>Santo Antônio da Barra</i>,<b>1</b>,1
9167,Mata Roma,<i>Mata Roma</i>,<b>4</b>,4
5856,General Carneiro,<i>General Carneiro</i>,<b>0</b>,0
8706,Pirajuí,<i>Pirajuí</i>,<b>0</b>,0
10443,Curvelo,<i>Curvelo</i>,<b>3</b>,3
7983,Jussiape,<i>Jussiape</i>,<b>2</b>,2
10470,Dores do Indaiá,<i>Dores do Indaiá</i>,<b>1</b>,1
10340,Cana Verde,<i>Cana Verde</i>,<b>0</b>,0
7714,Itabaianinha,<i>Itabaianinha</i>,<b>4</b>,4
9036,São Bento do Tocantins,<i>São Bento do Tocantins</i>,<b>2</b>,2
7785,Aracatu,<i>Aracatu</i>,<b>1</b>,1
6363,Santa Rosa de Lima,<i>Santa Rosa de Lima</i>,<b>1</b>,1
8690,Pedro de Toledo,<i>Pedro de Toledo</i>,<b>1</b>,1
7498,Castelândia,<i>Castelândia</i>,<b>1</b>,1
6841,Nova Mamoré,<i>Nova Mamoré</i>,<b>1</b>,1
8133,Sento Sé,<i>Sento Sé</i>,<b>4</b>,4
8098,Santa Bárbara,<i>Santa Bárbara</i>,<b>1</b>,1
6895,Alagoinha do Piauí,<i>Alagoinha do Piauí</i>,<b>3</b>,3
8519,Itaberá,<i>Itaberá</i>,<b>2</b>,2
9283,Alvorada,<i>Alvorada</i>,<b>3</b>,3
10875,Santa Bárbara,<i>Santa Bárbara</i>,<b>0</b>,0
10899,Santana do Riacho,<i>Santana do Riacho</i>,<b>0</b>,0
6480,Ipueira,<i>Ipueira</i>,<b>1</b>,1
9510,Maçambará,<i>Maçambará</i>,<b>0</b>,0
10721,Nacip Raydan,<i>Nacip Raydan</i>,<b>0</b>,0
6706,Manaíra,<i>Manaíra</i>,<b>1</b>,1
6429,Açu,<i>Açu</i>,<b>5</b>,5
10488,Estrela do Sul,<i>Estrela do Sul</i>,<b>0</b>,0
9216,Santa Helena,<i>Santa Helena</i>,<b>1</b>,1
6319,Passo de Torres,<i>Passo de Torres</i>,<b>1</b>,1
7912,Ibipeba,<i>Ibipeba</i>,<b>5</b>,5
6030,Rancho Alegre D'Oeste,<i>Rancho Alegre D'Oeste</i>,<b>1</b>,1
9342,Campinas do Sul,<i>Campinas do Sul</i>,<b>1</b>,1
9074,Bacabal,<i>Bacabal</i>,<b>2</b>,2
6437,Apodi,<i>Apodi</i>,<b>2</b>,2
10362,Carmo da Cachoeira,<i>Carmo da Cachoeira</i>,<b>0</b>,0
9099,Cajari,<i>Cajari</i>,<b>2</b>,2
11123,Presidente Kennedy,<i>Presidente Kennedy</i>,<b>0</b>,0
8783,Santa Albertina,<i>Santa Albertina</i>,<b>0</b>,0
8838,São Sebastião da Grama,<i>São Sebastião da Grama</i>,<b>1</b>,1
9761,Vila Maria,<i>Vila Maria</i>,<b>1</b>,1
10054,Colônia Leopoldina,<i>Colônia Leopoldina</i>,<b>5</b>,5
8937,Barra do Ouro,<i>Barra do Ouro</i>,<b>0</b>,0
10199,Boa Vista,<i>Boa Vista</i>,<b>21</b>,21
5774,Bom Jesus do Sul,<i>Bom Jesus do Sul</i>,<b>0</b>,0
7733,Nossa Senhora do Socorro,<i>Nossa Senhora do Socorro</i>,<b>8</b>,8
6571,Senador Georgino Avelino,<i>Senador Georgino Avelino</i>,<b>2</b>,2
6336,Porto Belo,<i>Porto Belo</i>,<b>3</b>,3
7990,Lamarão,<i>Lamarão</i>,<b>2</b>,2
8873,Tarumã,<i>Tarumã</i>,<b>3</b>,3
5755,Araucária,<i>Araucária</i>,<b>2</b>,2
9285,Ametista do Sul,<i>Ametista do Sul</i>,<b>0</b>,0
6995,Jerumenha,<i>Jerumenha</i>,<b>0</b>,0
8569,Laranjal Paulista,<i>Laranjal Paulista</i>,<b>4</b>,4
10445,Delfim Moreira,<i>Delfim Moreira</i>,<b>1</b>,1
10194,Uarini,<i>Uarini</i>,<b>2</b>,2
10455,Divino,<i>Divino</i>,<b>1</b>,1
9458,Guabiju,<i>Guabiju</i>,<b>0</b>,0
5845,Figueira,<i>Figueira</i>,<b>1</b>,1
9294,Arroio do Padre,<i>Arroio do Padre</i>,<b>0</b>,0
9429,Esteio,<i>Esteio</i>,<b>3</b>,3
9117,Coroatá,<i>Coroatá</i>,<b>2</b>,2
10261,Arinos,<i>Arinos</i>,<b>2</b>,2
7548,Inaciolândia,<i>Inaciolândia</i>,<b>0</b>,0
7696,Canhoba,<i>Canhoba</i>,<b>2</b>,2
10222,Aimorés,<i>Aimorés</i>,<b>3</b>,3
